AtH2023_SRR17241508_MAG01,AtH2023_SRR17241508_MAG02,AtH2023_SRR17241508_MAG03,AtH2023_SRR17241508_MAG04,AtH2023_SRR17241508_MAG05,AtH2023_SRR17241508_MAG06,AtH2023_SRR17241508_MAG07,AtH2023_SRR17241508_MAG08,AtH2023_SRR17241508_MAG09,AtH2023_SRR17241508_MAG10,AtH2023_SRR17241508_MAG11,AtH2023_SRR17241508_MAG12,AtH2023_SRR17241508_MAG13,AtH2023_SRR17241508_MAG14,AtH2023_SRR17241508_MAG15,AtH2023_SRR17241508_MAG16,AtH2023_SRR17241508_MAG17,AtH2023_SRR17241508_MAG18,AtH2023_SRR17241508_MAG19,AtH2023_SRR17241508_MAG20,AtH2023_SRR17241508_MAG21,AtH2023_SRR17241508_MAG22,AtH2023_SRR17241508_MAG23,AtH2023_SRR17241508_MAG24,AtH2023_SRR17241508_MAG25,AtH2023_SRR17241508_MAG26,AtH2023_SRR17241508_MAG27,AtH2023_SRR17241508_MAG28,AtH2023_SRR17241508_MAG29,AtH2023_SRR17241508_MAG30,AtH2023_SRR17241508_MAG31,AtH2023_SRR17241508_MAG32,AtH2023_SRR17241508_MAG33,AtH2023_SRR17241508_MAG34,AtH2023_SRR17241508_MAG35,AtH2023_SRR17241508_MAG36,AtH2023_SRR17241508_MAG37,AtH2023_SRR17241508_MAG38
1.0,0.0,0.0,0.0,0.0,0.0,0.0002986857825567503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.00023691068467187872,0.0,0.0005557099194220616,0.0,0.00025516713447307985,0.0,0.0,0.00027495188342040145,0.0002199736031676199,0.007450132179764479,0.0,0.00022487069934787497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023837902264600716,0.0,0.0,0.0,0.0,0.0,0.0003211303789338471,0.0,0.00040461258345134534,0.0,0.0,0.0,0.0,0.0
0.0,0.00023691068467187872,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002460024600246002,0.00044543429844097997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021417862497322766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.000271370420624152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026954177897574127,0.0,0.003940658321743162,0.0,0.0,0.0,0.0,0.0,0.0006693440428380187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026455026455026457,0.0
0.0,0.0005557099194220616,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0007416563658838071,0.00027085590465872155,0.0,0.0007602635580334517,0.0,0.0,0.0,0.0,0.0005017561465127947,0.0,0.0,0.0,0.00033178500331785003,0.0,0.00027056277056277056,0.0003287310979618672,0.0,0.0,0.0,0.000704390702042733,0.0,0.0009011038522189682,0.0,0.0008498583569405099,0.0002633658151171978,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0006412997007268063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022197558268590456,0.0,0.0,0.0,0.0,0.0,0.000245398773006135,0.0,0.0,0.0,0.0013717421124828531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0002986857825567503,0.00025516713447307985,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0005787037037037037,0.00022904260192395785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023223409196470042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002871088142405972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.000271370420624152,0.0,0.0,0.0,1.0,0.0,0.00030656039239730225,0.0,0.0,0.0,0.0,0.0,0.0011865915158706616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004822763443453099,0.0,0.0003158559696778269,0.0,0.0,0.0,0.0,0.0,0.0,0.0002188662727073758,0.0002735229759299781,0.0,0.0003045066991473812,0.0008715862870424172,0.0
0.0,0.0,0.0,0.0,0.0,0.0006412997007268063,0.0,0.0,1.0,0.0,0.0,0.0,0.00022527596305474206,0.0,0.0,0.0,0.0002523977788995457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002190100744634253,0.0,0.0,0.0,0.0,0.0,0.0,0.0002469135802469136,0.0,0.0002718868950516585,0.0,0.0
0.0,0.00027495188342040145,0.0,0.0,0.0,0.0,0.0005787037037037037,0.00030656039239730225,0.0,1.0,0.0,0.000536480686695279,0.0,0.0002509410288582183,0.0,0.000304228780042592,0.0,0.0,0.0,0.00037893141341417203,0.0,0.0,0.0,0.0,0.0,0.0003247807729782397,0.0,0.0,0.00031240237425804435,0.0,0.0,0.00022326412145568208,0.0,0.0,0.0,0.0,0.0,0.0
